日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/01/26 07:00:00,118.278,118.295,118.278,118.29,118.314,118.319,118.303,118.305
2016/01/26 07:01:00,118.29,118.295,118.289,118.294,118.305,118.314,118.305,118.309
2016/01/26 07:02:00,118.294,118.304,118.292,118.302,118.309,118.322,118.309,118.317
2016/01/26 07:03:00,118.302,118.302,118.294,118.294,118.317,118.322,118.317,118.318
2016/01/26 07:04:00,118.294,118.294,118.294,118.294,118.318,118.318,118.318,118.318
2016/01/26 07:05:00,118.294,118.294,118.285,118.29,118.318,118.318,118.309,118.314
2016/01/26 07:06:00,118.29,118.291,118.283,118.291,118.314,118.319,118.309,118.315
2016/01/26 07:07:00,118.291,118.292,118.291,118.291,118.315,118.316,118.315,118.315
2016/01/26 07:08:00,118.291,118.291,118.291,118.291,118.315,118.315,118.315,118.315
2016/01/26 07:09:00,118.291,118.291,118.291,118.291,118.315,118.315,118.315,118.315
2016/01/26 07:10:00,118.291,118.301,118.29,118.3,118.315,118.315,118.301,118.303
2016/01/26 07:11:00,118.3,118.3,118.298,118.3,118.303,118.303,118.301,118.303
2016/01/26 07:12:00,118.3,118.303,118.3,118.303,118.303,118.306,118.303,118.306
2016/01/26 07:13:00,118.303,118.304,118.3,118.302,118.306,118.307,118.303,118.305
2016/01/26 07:14:00,118.302,118.305,118.302,118.304,118.305,118.308,118.305,118.307
2016/01/26 07:15:00,118.304,118.308,118.303,118.308,118.307,118.311,118.306,118.311
2016/01/26 07:16:00,118.308,118.31,118.307,118.309,118.311,118.313,118.31,118.312
2016/01/26 07:17:00,118.309,118.313,118.304,118.304,118.312,118.316,118.307,118.307
2016/01/26 07:18:00,118.304,118.314,118.299,118.308,118.307,118.328,118.306,118.311
2016/01/26 07:19:00,118.308,118.31,118.298,118.299,118.311,118.326,118.311,118.324
2016/01/26 07:20:00,118.299,118.321,118.297,118.311,118.324,118.336,118.314,118.336
2016/01/26 07:21:00,118.311,118.326,118.309,118.326,118.336,118.338,118.324,118.329
2016/01/26 07:22:00,118.326,118.33,118.314,118.316,118.329,118.345,118.329,118.343
2016/01/26 07:23:00,118.316,118.335,118.315,118.333,118.343,118.349,118.331,118.336
2016/01/26 07:24:00,118.333,118.335,118.331,118.333,118.336,118.338,118.334,118.336
2016/01/26 07:25:00,118.333,118.335,118.331,118.331,118.336,118.338,118.334,118.334
2016/01/26 07:26:00,118.331,118.333,118.328,118.332,118.334,118.336,118.331,118.335
2016/01/26 07:27:00,118.332,118.334,118.329,118.333,118.335,118.337,118.332,118.336
2016/01/26 07:28:00,118.333,118.335,118.331,118.334,118.336,118.338,118.334,118.337
2016/01/26 07:29:00,118.334,118.335,118.333,118.333,118.337,118.338,118.336,118.336
2016/01/26 07:30:00,118.333,118.333,118.309,118.322,118.336,118.351,118.325,118.325
2016/01/26 07:31:00,118.322,118.324,118.309,118.321,118.325,118.335,118.323,118.324
2016/01/26 07:32:00,118.321,118.325,118.31,118.323,118.324,118.338,118.324,118.326
2016/01/26 07:33:00,118.323,118.324,118.311,118.324,118.326,118.339,118.325,118.327
2016/01/26 07:34:00,118.324,118.336,118.309,118.334,118.327,118.35,118.327,118.337
2016/01/26 07:35:00,118.334,118.353,118.334,118.35,118.337,118.356,118.337,118.353
2016/01/26 07:36:00,118.35,118.35,118.338,118.34,118.353,118.353,118.341,118.343
2016/01/26 07:37:00,118.34,118.345,118.339,118.345,118.343,118.348,118.342,118.348
2016/01/26 07:38:00,118.345,118.345,118.34,118.342,118.348,118.348,118.343,118.345
2016/01/26 07:39:00,118.342,118.342,118.335,118.339,118.345,118.345,118.338,118.342
2016/01/26 07:40:00,118.339,118.34,118.328,118.329,118.342,118.356,118.341,118.354
2016/01/26 07:41:00,118.329,118.341,118.328,118.337,118.354,118.354,118.34,118.34
2016/01/26 07:42:00,118.337,118.343,118.327,118.339,118.34,118.354,118.339,118.342
2016/01/26 07:43:00,118.339,118.341,118.325,118.332,118.342,118.358,118.341,118.357
2016/01/26 07:44:00,118.332,118.339,118.325,118.328,118.357,118.36,118.342,118.356
2016/01/26 07:45:00,118.328,118.33,118.326,118.328,118.356,118.36,118.354,118.357
2016/01/26 07:46:00,118.328,118.329,118.325,118.328,118.357,118.359,118.352,118.357
2016/01/26 07:47:00,118.328,118.33,118.326,118.329,118.357,118.359,118.355,118.357
2016/01/26 07:48:00,118.329,118.331,118.329,118.329,118.357,118.36,118.356,118.359
2016/01/26 07:49:00,118.329,118.342,118.329,118.342,118.359,118.361,118.345,118.345
2016/01/26 07:50:00,118.342,118.343,118.328,118.33,118.345,118.358,118.344,118.357
2016/01/26 07:51:00,118.33,118.33,118.328,118.328,118.357,118.358,118.354,118.356
